id,verifiable,label,claim,evidence
203109,NOT VERIFIABLE,NOT ENOUGH INFO,James Mangold directed a 1997 American crime comedy film.,[]
3929,NOT VERIFIABLE,NOT ENOUGH INFO,Arnold Schwarzenegger is a magician.,[]
20791,VERIFIABLE,REFUTES,Edward I of England failed to respond to a second rebellion with a full-scale war of conquest.,"['After suppressing a minor rebellion in Wales in 1276 -- 77 , Edward responded to a second rebellion in 1282 -- 83 with a full-scale war of conquest .']"
168579,VERIFIABLE,SUPPORTS,"In 1989, Ronald Reagan left office.","['Leaving office in 1989 , Reagan held an approval rating of sixty-eight percent , matching those of Franklin D. Roosevelt , and later Bill Clinton , as the highest ratings for departing presidents in the modern era .', 'Ronald Wilson Reagan -LRB- -LSB- ˈrɒnəld_ˈwɪlsən_ˈreɪɡən -RSB- -RRB- -LRB- February 6 , 1911 -- June 5 , 2004 -RRB- was an American politician and actor who served as the 40th President of the United States from 1981 to 1989 .']"
1859,VERIFIABLE,SUPPORTS,Minnesota was inhabited by the Dakota and Ojibwe.,"['Until European settlement , Minnesota was inhabited by the Dakota and Ojibwe/Anishinaabe .']"
155713,VERIFIABLE,SUPPORTS,October was the birth month of Roger Moore.,"['Sir Roger George Moore , -LRB- -LSB- mɔər -RSB- 14 October 1927 -- 23 May 2017 -RRB- was an English actor .', 'Sir Roger George Moore , -LRB- -LSB- mɔər -RSB- 14 October 1927 -- 23 May 2017 -RRB- was an English actor .', 'Sir Roger George Moore , -LRB- -LSB- mɔər -RSB- 14 October 1927 -- 23 May 2017 -RRB- was an English actor .', 'Sir Roger George Moore , -LRB- -LSB- mɔər -RSB- 14 October 1927 -- 23 May 2017 -RRB- was an English actor .']"
7271,VERIFIABLE,SUPPORTS,Joaquin Phoenix received international attention for his portrayal of Commodus in the 2000 historical epic movie Gladiator.,"['He received international attention for his portrayal of Commodus in the 2000 historical epic film Gladiator , which earned him a nomination for the Academy Award for Best Supporting Actor .']"
25311,VERIFIABLE,REFUTES,Leukemia is a type of planet.,"['Leukemia , also spelled leukaemia , is a group of cancers that usually begin in the bone marrow and result in high numbers of abnormal white blood cells .']"
212168,VERIFIABLE,REFUTES,Red was directed by Stephen Soderbergh.,"['The film stars Bruce Willis , Morgan Freeman , John Malkovich , Mary-Louise Parker , Helen Mirren and Karl Urban , with German film director Robert Schwentke directing a screenplay by Jon Hoeber and Erich Hoeber .']"
12377,VERIFIABLE,REFUTES,Qatar is not an island.,"['Its sole land border is with Saudi Arabia to the south , with the rest of its territory surrounded by the Persian Gulf .']"
123864,VERIFIABLE,REFUTES,Mike Myers died before being in any films that starred Brad Pitt.,"[""He also directed the documentary film Supermensch : The Legend of Shep Gordon , and had a small role in Quentin Tarantino 's Inglourious Basterds in 2009 ."", 'Inglourious Basterds is a 2009 uchronic war film written and directed by Quentin Tarantino starring Brad Pitt , Christoph Waltz , Michael Fassbender , Eli Roth , Diane Kruger , Til Schweiger , and Mélanie Laurent .']"
168603,VERIFIABLE,SUPPORTS,Ronald Reagan and Bill Clinton had matching approval ratings.,"['Leaving office in 1989 , Reagan held an approval rating of sixty-eight percent , matching those of Franklin D. Roosevelt , and later Bill Clinton , as the highest ratings for departing presidents in the modern era .']"
